7 [133184936372160] INFO perfrun.launcher <> - Launcher main begin
8 [133184936372160] INFO perfrun.launcher <> - MessageCatalogInit finished
8 [133184936372160] INFO perfrun.launcher <> - Launcher instance created
8 [133184936372160] INFO perfrun.launcher <> - argc = 6; cmdline = /home/ivan/intel/oneapi/advisor/2025.0/bin64/advixe-runss --ui-output-format xml --ui-output-fd 126 --context-value-list 
41 [133184936372160] INFO perfrun.launcher <> - create msngr2::ICliToolContext
41 [133184936372160] INFO perfrun.launcher <> - create file finder object
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = targetOS; value = Linux
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OS; value = Linux
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBuildNumber; value = 0
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = OSBitness; value = 64
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = RootPrivileges; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPtraceScopeLimited; value = true
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isCATSupportedByCPU; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isL3MonitoringSupportedByCPU; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTSXAvailable; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPTAvailable; value = true
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isHTEnabled; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = fpgaOnBoard; value = None
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = omniPathOnBoard; value = None
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = genArchOnBoard; value = 0
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = pciClassParts; value = 
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = tidValuesForIO; value = 
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoParts; value = 
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedIoUnits; value = 
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = populatedTidValuesForIO; value = 
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = memoryType; value = Unknown
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isSGXAvailable; value = true
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = LinuxRelease; value = 6.8.0-51-generic
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPPresent; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXP2LMMode; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = is3DXPAppDirectMode; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = IsNUMANodeWithoutCPUsPresent; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = Hypervisor; value = None
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = PerfmonVersion; value = 4
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isMaxDRAMBandwidthMeasurementSupported; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = preferedGpuAdapter; value = none
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isEHFIAvailable; value = false
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = i915Status; value = MissingDriver
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = GPUUserGroups; value = 
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isTPSSAvailable; value = true
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = isPytraceAvailable; value = true
43 [133184936372160] INFO perfrun.launcher <> - Put into the variant bag the context value: name = forceShowInlines; value = false
43 [133184936372160] INFO perfrun.launcher <> - Application exit code: 0
43 [133184936372160] INFO perfrun.launcher <> - Exit code: 0
